time	r_thigh_gx	r_thigh_gy	r_thigh_gz	r_thigh_ax	r_thigh_ay	r_thigh_az	r_thigh_mx	r_thigh_my	r_thigh_mz	r_shin_gx	r_shin_gy	r_shin_gz	r_shin_ax	r_shin_ay	r_shin_az	r_shin_mx	r_shin_my	r_shin_mz	r_foot_gx	r_foot_gy	r_foot_gz	r_foot_ax	r_foot_ay	r_foot_az	r_foot_mx	r_foot_my	r_foot_mz	l_thigh_gx	l_thigh_gy	l_thigh_gz	l_thigh_ax	l_thigh_ay	l_thigh_az	l_thigh_mx	l_thigh_my	l_thigh_mz	l_shin_gx	l_shin_gy	l_shin_gz	l_shin_ax	l_shin_ay	l_shin_az	l_shin_mx	l_shin_my	l_shin_mz	l_foot_gx	l_foot_gy	l_foot_gz	l_foot_ax	l_foot_ay	l_foot_az	l_foot_mx	l_foot_my	l_foot_mz	up_torso_gx	up_torso_gy	up_torso_gz	up_torso_ax	up_torso_ay	up_torso_az	up_torso_mx	up_torso_my	up_torso_mz	lo_torso_gx	lo_torso_gy	lo_torso_gz	lo_torso_ax	lo_torso_ay	lo_torso_az	lo_torso_mx	lo_torso_my	lo_torso_mz	gaitStageRight	gaitStageLeft	step_count
3.17064	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	13	387	-474	-4047	2424	-795	-1891	None	None	None	None	None	None	None	None	None	0	0	0
3.19107	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	3	14	387	-477	-4044	2417	-811	-1897	None	None	None	None	None	None	None	None	None	0	0	0
3.21044	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	1	13	382	-478	-4042	2405	-816	-1910	None	None	None	None	None	None	None	None	None	0	0	0
3.23073	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	1	11	379	-479	-4040	2394	-832	-1935	None	None	None	None	None	None	None	None	None	0	0	0
3.25029	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	0	14	383	-470	-4040	2405	-802	-1875	None	None	None	None	None	None	None	None	None	0	0	0
3.27071	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	2	14	388	-472	-4046	2412	-816	-1924	None	None	None	None	None	None	None	None	None	0	0	0
3.29007	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	1	11	388	-479	-4040	2429	-797	-1925	None	None	None	None	None	None	None	None	None	0	0	0
3.31048	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	13	386	-483	-4042	2427	-811	-1925	None	None	None	None	None	None	None	None	None	0	0	0
3.32981	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	2	14	390	-477	-4042	2433	-821	-1918	None	None	None	None	None	None	None	None	None	0	0	0
3.35034	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	1	14	388	-477	-4042	2450	-837	-1879	None	None	None	None	None	None	None	None	None	0	0	0
